asin,title,imgUrl,productURL,stars,reviews,price,listPrice,categoryName,isBestSeller,boughtInLastMonth
B0BJ33PV2T,"Fast Smart TV LED 58,"" Ultra HD 4K, PTV58G70R2CSGBL, Philco, Roku TV, Midiacast, Dolby Audio",https://m.media-amazon.com/images/I/714C3j4BJzL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0BJ33PV2T,4.5,160,2219,2329.9,"TV, Áudio e Cinema em Casa",FALSE,0
B0B9HS6DLZ,"Chromecast com Google TV (HD) – Streaming Stick Entertainment na sua TV com pesquisa por voz – Veja filmes, programas e TV ao vivo em HD 1080p – Neve",https://m.media-amazon.com/images/I/51zUyjdP1oL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0B9HS6DLZ,4.8,9039,307,355.98,"TV, Áudio e Cinema em Casa",FALSE,0
B07XQ7M2P7,Biscoito Pedigree Biscrok Para Cães Adultos Multi 1 kg,https://m.media-amazon.com/images/I/81qOI7KD2FL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07XQ7M2P7,4.9,2926,26.86,28.23,Pet Shop,FALSE,700
B08CSG5734,Tapete Higiênico Confort Pads 60x55 com 30 Unidades,https://m.media-amazon.com/images/I/81OtMOm9r4L._AC_UL320_.jpg,https://www.amazon.com.br/dp/B08CSG5734,4.5,2983,56.9,0,Pet Shop,TRUE,1000
B07J4J9XKZ,"Bravecto Cães de 4.5 até 10kg Bravecto para Cães, 4.5 a 10kg,",https://m.media-amazon.com/images/I/71qzRL5Jm9L._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07J4J9XKZ,4.8,19596,190.13,224.9,Pet Shop,TRUE,3000
B07Y1Y7NDX,"Simparic 20mg, 5,1 até 10kg, 03 Compr Zoetis para Cães",https://m.media-amazon.com/images/I/61pZi4gGriL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07Y1Y7NDX,4.8,5782,178.99,193.5,Pet Shop,FALSE,3000
B07S8BMFPD,"NexGard Antipulgas e Carrapatos para Cães de 10,1 a 25kg 3 tabletes",https://m.media-amazon.com/images/I/71ycX-Yb0PL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07S8BMFPD,4.8,4163,190.97,293,Pet Shop,FALSE,3000
B07M6KHQKT,"NexGard Antipulgas e Carrapatos para Cães de 4,1 a 10kg 3 tabletes",https://m.media-amazon.com/images/I/71Ftegwk5zL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07M6KHQKT,4.8,3987,177.16,253,Pet Shop,FALSE,3000
B07Y2D6P6W,Ração Úmida Whiskas Sachê Carne ao Molho para Gatos Adultos - Leve 12 Pague 10,https://m.media-amazon.com/images/I/613QnG4YvML._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07Y2D6P6W,4.9,347,32.9,0,Pet Shop,TRUE,2000
B07YXF387Y,Areia Higiênica Biodegradável para Gatos Petfive / Viva Verde Vida Descomplicada 4kg,https://m.media-amazon.com/images/I/61WAqLDXqvL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07YXF387Y,4.8,3451,59.4,69.9,Pet Shop,TRUE,3000
B07XVX9G17,Tapete Higiênico para Cães Blue Premium 30 Unidades,https://m.media-amazon.com/images/I/71AVQaRqmoL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07XVX9G17,4.6,2504,68.35,78.9,Pet Shop,FALSE,2000
B07DP336FZ,Bifinho Keldog Churrasco 500G,https://m.media-amazon.com/images/I/81fyd7GFqNL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07DP336FZ,4.8,1439,23.92,25.42,Pet Shop,FALSE,1000
B07VM9XZVT,Coleira Antipulgas e Carrapatos Bayer Seresto para Cães e Gatos de até 8kg,https://m.media-amazon.com/images/I/51ETt+VaLnL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B07VM9XZVT,4.7,3423,154.9,182.5,Pet Shop,FALSE,1000
